secs,runs,wickets
0600.jpg,102,3
0601.jpg,102,3
0602.jpg,102,3
0603.jpg,102,3
0604.jpg,102,3
0605.jpg,102,3
0606.jpg,102,4
0607.jpg,102,4
0608.jpg,102,4
0609.jpg,102,4
0610.jpg,102,4
0611.jpg,702,4
0624.jpg,102,4
0625.jpg,102,4
0626.jpg,102,4
0627.jpg,102,4
0628.jpg,102,4
0629.jpg,102,4
0639.jpg,103,4
0640.jpg,103,4
0641.jpg,103,4
0642.jpg,103,4
0643.jpg,103,4
0644.jpg,104,4
0645.jpg,104,4
0646.jpg,104,4
0647.jpg,104,4
0665.jpg,105,4
0666.jpg,105,4
0667.jpg,105,4
0668.jpg,105,4
0669.jpg,105,4
0670.jpg,105,4
0671.jpg,105,4
0672.jpg,105,4
0673.jpg,105,4
0685.jpg,109,4
0686.jpg,109,4
0687.jpg,109,4
0688.jpg,109,4
0689.jpg,109,4
0690.jpg,109,4
0691.jpg,109,4
0692.jpg,110,4
0693.jpg,110,4
0694.jpg,110,4
0699.jpg,111,4
0701.jpg,111,4
0711.jpg,113,4
0712.jpg,113,4
0713.jpg,113,4
0714.jpg,113,4
0715.jpg,113,4
0716.jpg,113,4
0717.jpg,113,4
0718.jpg,113,4
0719.jpg,117,4
0720.jpg,117,4
07202.jpg,117,4
0721.jpg,117,4
0722.jpg,117,4
07222.jpg,117,4
0735.jpg,122,4
0736.jpg,122,4
0737.jpg,122,4
0738.jpg,122,4
0739.jpg,122,4
0740.jpg,122,4
0741.jpg,122,4
0742.jpg,122,4
0743.jpg,122,4
0745.jpg,128,4
0746.jpg,128,4
0747.jpg,128,4
0748.jpg,128,4
0749.jpg,128,4
0750.jpg,128,4
0751.jpg,128,4
0752.jpg,128,4
0753.jpg,128,4
0766.jpg,135,4
0767.jpg,135,4
0768.jpg,135,4
0769.jpg,135,4
0770.jpg,135,4
0771.jpg,135,4
0772.jpg,136,4
0775.jpg,136,4
0776.jpg,136,4
0777.jpg,136,4
0778.jpg,136,4
07782.jpg,136,4
0779.jpg,136,4
0780.jpg,136,4
0793.jpg,142,4
0794.jpg,142,4
0795.jpg,142,4
0796.jpg,142,4
0797.jpg,142,4
0798.jpg,142,4
0799.jpg,142,4
0800.jpg,146,4
0801.jpg,146,4
0802.jpg,146,4
0803.jpg,146,4
0816.jpg,146,4
0817.jpg,146,4
08172.jpg,146,4
0818.jpg,146,4
0819.jpg,146,4
0820.jpg,146,4
0821.jpg,146,4
0822.jpg,146,5
0823.jpg,146,5
0824.jpg,146,5
0825.jpg,146,5
0826.jpg,146,5
0827.jpg,146,5
08272.jpg,146,5
0842.jpg,146,5
0843.jpg,146,5
0845.jpg,148,5
0846.jpg,148,5
0847.jpg,148,5
0848.jpg,148,5
08482.jpg,148,5
0849.jpg,148,5
0851.jpg,148,5
0852.jpg,148,5
0853.jpg,149,5
0854.jpg,149,5
0855.jpg,149,5
0856.jpg,149,5
0857.jpg,149,5
08572.jpg,149,5
0858.jpg,149,5
0859.jpg,149,5
0860.jpg,149,5
0861.jpg,149,5
0862.jpg,149,5
0863.jpg,149,5
0864.jpg,150,5
0865.jpg,150,5
0866.jpg,150,5
0867.jpg,151,5
0868.jpg,151,5
0869.jpg,151,5
0870.jpg,151,5
0871.jpg,157,5
0872.jpg,57,5
0873.jpg,151,5
0874.jpg,151,5
0875.jpg,151,5
0876.jpg,151,5
0877.jpg,151,5
0878.jpg,151,5
0879.jpg,151,5
0880.jpg,155,5
08802.jpg,155,5
0881.jpg,155,5
0882.jpg,155,5
0883.jpg,155,5
0884.jpg,155,5
0885.jpg,155,5
0886.jpg,158,5
0887.jpg,158,5
0888.jpg,158,5
0889.jpg,158,5
08892.jpg,158,5
0890.jpg,158,5
0891.jpg,158,5
0892.jpg,158,5
0893.jpg,158,5
0894.jpg,158,5
0895.jpg,159,5
0896.jpg,159,5
0897.jpg,159,5
0898.jpg,160,5
0899.jpg,160,5
0900.jpg,160,5
0901.jpg,160,5
0902.jpg,160,5
0903.jpg,160,5
0904.jpg,160,5
0905.jpg,160,5
0906.jpg,160,5
0907.jpg,160,5
0908.jpg,160,5
0909.jpg,160,5
0910.jpg,164,5
0911.jpg,164,5
0912.jpg,164,5
09122.jpg,164,5
0913.jpg,164,5
09132.jpg,164,5
0914.jpg,164,5
0915.jpg,164,5
0916.jpg,164,5
0925.jpg,164,5
0926.jpg,164,5
0927.jpg,164,5
0928.jpg,164,5
0929.jpg,164,5
0930.jpg,165,5
0931.jpg,165,5
0932.jpg,165,5
0933.jpg,165,5
09332.jpg,165,5
0934.jpg,166,5
0935.jpg,166,5
0936.jpg,166,5
0937.jpg,166,5
0938.jpg,166,5
0939.jpg,166,5
0940.jpg,167,5
0941.jpg,167,5
0942.jpg,167,5
0943.jpg,167,5
0944.jpg,168,5
0945.jpg,168,5
0946.jpg,168,5
09462.jpg,168,5
0947.jpg,168,5
0948.jpg,168,5
0949.jpg,168,5
0950.jpg,168,5
0951.jpg,168,5
