secs,runs,wickets
910,164,5
911,164,5
912,164,5
9122,164,5
913,164,5
9132,164,5
914,164,5
915,164,5
916,164,5
925,164,5
926,164,5
927,164,5
928,164,5
929,164,5
930,165,5
931,165,5
932,165,5
933,165,5
9332,165,5
934,166,5
935,166,5
936,166,5
937,166,5
938,166,5
939,166,5
940,167,5
941,167,5
942,167,5
943,167,5
944,168,5
945,168,5
946,168,5
9462,168,5
947,168,5
948,168,5
949,168,5
950,168,5
951,168,5
952,168,5
953,169,5
954,169,5
955,169,5
956,169,5
957,169,5
958,170,5
959,170,5
960,170,5
961,170,5
962,170,5
963,170,5
964,170,5
965,170,5
9652,470,5
966,170,5
967,170,5
9672,170,5
968,170,5
969,170,5
970,170,5
971,170,5
973,174,5
974,174,5
975,174,5
976,174,5
977,174,5
995,175,5
996,175,5
997,175,5
998,175,5
999,175,5
