Filename,OCR Result
frame_0571.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0572.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0573.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0574.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0575.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0576.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0578.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0579.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0581.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0582.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0583.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0588.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0602.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0603.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0604.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0605.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0606.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0607.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0608.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0609.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0610.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0611.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0612.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0613.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0614.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0615.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0616.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0617.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0618.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0619.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0620.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0621.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0622.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0623.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0624.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0625.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0627.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0628.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0629.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0630.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0631.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0632.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0633.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0634.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0635.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0636.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0644.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0645.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0647.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0648.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0649.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0650.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0651.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0652.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0653.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0654.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0655.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0656.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0658.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0659.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0661.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0662.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0663.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0664.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0665.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0666.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0667.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0668.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0669.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0670.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0671.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0672.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0673.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0674.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0675.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0676.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0677.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0678.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0679.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0680.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0681.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0682.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0683.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0684.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0685.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0686.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0687.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0688.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0689.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0690.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0691.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0692.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0693.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0694.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0695.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0696.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0697.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0698.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0699.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0700.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0701.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0702.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0703.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0704.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0705.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0706.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0707.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0708.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0709.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0710.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0711.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0712.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0713.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0714.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0715.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0716.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0717.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0718.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0719.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0720.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0732.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0733.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0734.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0735.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0736.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0737.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0738.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0739.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0741.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0742.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0743.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0744.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
frame_0756.jpg,You may only perform this action upto maximum 180 number of times within 3600 seconds
